name,image,url,productid
"Serum Tia'm Làm Sáng, Phục Hồi Cho Da Dầu Mụn, Nhạy Cảm 40ml",,https://hasaki.vn/san-pham/serum-tia-m-lam-sang-phuc-hoi-cho-da-dau-mun-nhay-cam-40ml-114725.html,422216298
Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 88ml,,https://hasaki.vn/san-pham/sua-rua-mat-cerave-tao-bot-cho-da-thuong-den-da-dau-88ml-102961.html,422208974
Combo 4 Bông Tẩy Trang Ipek 150 Miếng,,https://hasaki.vn/san-pham/combo-4-bong-tay-trang-ipek-150-mieng-94831.html,422203776
Kem Dưỡng GoodnDoc Rau Má Dưỡng Ẩm Phục Hồi Da 50ml,,https://hasaki.vn/san-pham/kem-duong-goodndoc-rau-ma-duong-am-phuc-hoi-da-50ml-107253.html,422211876
Kem Dưỡng Bioderma Hỗ Trợ Phục Hồi Da Tổn Thương 40ml,,https://hasaki.vn/san-pham/kem-duong-bioderma-phuc-hoi-va-lam-diu-da-bi-kich-ung-40ml-1742.html,100180113
Combo 2 Gel Rửa Mặt Cocoon Bí Đao Giúp Giảm Dầu & Mụn 310ml,,https://hasaki.vn/san-pham/combo-2-gel-rua-mat-cocoon-bi-dao-giup-giam-dau-mun-310ml-116853.html,422217899
"Serum Neogen Dermalogy Dưỡng Sáng Da, Mờ Thâm 32g",,https://hasaki.vn/san-pham/tinh-chat-neogen-dermalogy-duong-sang-da-mo-tham-32g-moi-103765.html,422209491
Sáp Tẩy Trang Banila Co Original Cho Mọi Loại Da 100ml,,https://hasaki.vn/san-pham/sap-tay-trang-banila-co-original-cho-moi-loai-da-100ml-106709.html,422211334
"Serum SVR Làm Giảm Mụn, Mờ Nám, Làm Mềm Mịn Da 30ml",,https://hasaki.vn/san-pham/tinh-chat-svr-lam-giam-mun-mo-nam-lam-mem-min-da-30ml-84667.html,293500050
Nước Hoa Hồng Klairs Dành Cho Da Nhạy Cảm 180ml,,https://hasaki.vn/san-pham/nuoc-hoa-hong-klairs-danh-cho-da-nhay-cam-180ml-65998.html,318900011
"Gel Rửa Mặt La Roche-Posay Dành Cho Da Dầu, Nhạy Cảm 200ml",,https://hasaki.vn/san-pham/gel-rua-mat-tao-bot-la-roche-posay-danh-cho-da-dau-nhay-cam-200ml-7947.html,204900004
Gel Tẩy Tế Bào Chết Caryophy Ngăn Ngừa Mụn 250ml,,https://hasaki.vn/san-pham/gel-tay-te-bao-chet-caryophy-ngan-ngua-mun-250ml-99925.html,422206774
Kem Dưỡng Bioderma Giúp Se Khít Lỗ Chân Lông 30ml,,https://hasaki.vn/san-pham/kem-duong-bioderma-giup-se-khit-lo-chan-long-giam-bong-nhon-30ml-1746.html,100180148
"Mặt Nạ Wonjin Cung Cấp Năng Lượng, Phục Hồi Chuyên Sâu 30g",,https://hasaki.vn/san-pham/mat-na-wonjin-cung-cap-nang-luong-phuc-hoi-chuyen-sau-30g-116991.html,422217972
